games,learning_rate,discount,average_moves
1000,0,0,95.52
1000,0,0.02,95.7
1000,0,0.04,95.52
1000,0,0.06,95.56
1000,0,0.08,95.62
1000,0,0.1,95.12
1000,0,0.12,95.22
1000,0,0.14,95.39
1000,0,0.16,95.38
1000,0,0.18,95.42
1000,0,0.2,95.52
1000,0,0.22,95.33
1000,0,0.24,95.18
1000,0,0.26,95.4
1000,0,0.28,95.41
1000,0,0.3,95.54
1000,0,0.32,95.43
1000,0,0.34,95.42
1000,0,0.36,95.39
1000,0,0.38,95.06
1000,0,0.4,95.56
1000,0,0.42,95.56
1000,0,0.44,95.44
1000,0,0.46,95.25
1000,0,0.48,95.58
1000,0,0.5,95.35
1000,0,0.52,95.34
1000,0,0.54,95.73
1000,0,0.56,95.46
1000,0,0.58,95.49
1000,0,0.6,95.39
1000,0,0.62,95.45
1000,0,0.64,95.51
1000,0,0.66,95.41
1000,0,0.68,95.37
1000,0,0.7,95.06
1000,0,0.72,95.43
1000,0,0.74,95.45
1000,0,0.76,95.19
1000,0,0.78,95.69
1000,0,0.8,95.28
1000,0,0.82,95.27
1000,0,0.84,95.19
1000,0,0.86,95.42
1000,0,0.88,95.36
1000,0,0.9,95.26
1000,0,0.92,95.29
1000,0,0.94,95.4
1000,0,0.96,95.18
1000,0,0.98,95.62
1000,0,1.0,95.51
1000,0,1.02,95.66
1000,0,1.04,95.39
1000,0,1.06,95.48
1000,0,1.08,95.18
1000,0.02,0,95.5
1000,0.02,0.02,95.37
1000,0.02,0.04,95.14
1000,0.02,0.06,95.42
1000,0.02,0.08,95.47
1000,0.02,0.1,95.46
1000,0.02,0.12,95.14
1000,0.02,0.14,95.42
1000,0.02,0.16,95.55
1000,0.02,0.18,95.33
1000,0.02,0.2,95.38
1000,0.02,0.22,95.39
1000,0.02,0.24,95.18
1000,0.02,0.26,95.73
1000,0.02,0.28,95.32
1000,0.02,0.3,95.3
1000,0.02,0.32,95.09
1000,0.02,0.34,95.44
1000,0.02,0.36,95.48
1000,0.02,0.38,95.44
1000,0.02,0.4,95.27
1000,0.02,0.42,95.66
1000,0.02,0.44,95.45
1000,0.02,0.46,95.28
1000,0.02,0.48,95.53
1000,0.02,0.5,95.25
1000,0.02,0.52,95.51
1000,0.02,0.54,95.31
1000,0.02,0.56,95.34
1000,0.02,0.58,95.58
1000,0.02,0.6,95.2
1000,0.02,0.62,95.5
1000,0.02,0.64,95.47
1000,0.02,0.66,95.11
1000,0.02,0.68,95.57
1000,0.02,0.7,95.49
1000,0.02,0.72,95.38
1000,0.02,0.74,95.42
1000,0.02,0.76,95.41
1000,0.02,0.78,95.27
1000,0.02,0.8,95.34
1000,0.02,0.82,95.58
1000,0.02,0.84,95.49
1000,0.02,0.86,95.08
1000,0.02,0.88,95.63
1000,0.02,0.9,95.23
1000,0.02,0.92,95.39
1000,0.02,0.94,95.31
1000,0.02,0.96,95.31
1000,0.02,0.98,95.34
1000,0.02,1.0,95.4
1000,0.02,1.02,95.35
1000,0.02,1.04,95.36
1000,0.02,1.06,95.66
1000,0.02,1.08,95.57
1000,0.04,0,95.44
1000,0.04,0.02,95.46
1000,0.04,0.04,95.42
1000,0.04,0.06,95.25
1000,0.04,0.08,95.26
1000,0.04,0.1,95.68
1000,0.04,0.12,95.29
1000,0.04,0.14,95.44
